"","Entity","Code","Date","ConfirmedPerMillion"
"1","Afghanistan","AFG",2019-12-31,0
"2","Afghanistan","AFG",2020-01-01,0
"3","Afghanistan","AFG",2020-01-02,0
"4","Afghanistan","AFG",2020-01-03,0
"5","Afghanistan","AFG",2020-01-04,0
"6","Afghanistan","AFG",2020-01-05,0
"7","Afghanistan","AFG",2020-01-06,0
"8","Afghanistan","AFG",2020-01-07,0
"9","Afghanistan","AFG",2020-01-08,0
"10","Afghanistan","AFG",2020-01-09,0
"11","Afghanistan","AFG",2020-01-10,0
"12","Afghanistan","AFG",2020-01-11,0
"13","Afghanistan","AFG",2020-01-12,0
"14","Afghanistan","AFG",2020-01-13,0
"15","Afghanistan","AFG",2020-01-14,0
"16","Afghanistan","AFG",2020-01-15,0
"17","Afghanistan","AFG",2020-01-16,0
"18","Afghanistan","AFG",2020-01-17,0
"19","Afghanistan","AFG",2020-01-18,0
"20","Afghanistan","AFG",2020-01-19,0
"21","Afghanistan","AFG",2020-01-20,0
"22","Afghanistan","AFG",2020-01-21,0
"23","Afghanistan","AFG",2020-01-22,0
"24","Afghanistan","AFG",2020-01-23,0
"25","Afghanistan","AFG",2020-01-24,0
"26","Afghanistan","AFG",2020-01-25,0
"27","Afghanistan","AFG",2020-01-26,0
"28","Afghanistan","AFG",2020-01-27,0
"29","Afghanistan","AFG",2020-01-28,0
"30","Afghanistan","AFG",2020-01-29,0
"31","Afghanistan","AFG",2020-01-30,0
"32","Afghanistan","AFG",2020-01-31,0
"33","Afghanistan","AFG",2020-02-01,0
"34","Afghanistan","AFG",2020-02-02,0
"35","Afghanistan","AFG",2020-02-03,0
"36","Afghanistan","AFG",2020-02-04,0
"37","Afghanistan","AFG",2020-02-05,0
"38","Afghanistan","AFG",2020-02-06,0
"39","Afghanistan","AFG",2020-02-07,0
"40","Afghanistan","AFG",2020-02-08,0
"41","Afghanistan","AFG",2020-02-09,0
"42","Afghanistan","AFG",2020-02-10,0
"43","Afghanistan","AFG",2020-02-11,0
"44","Afghanistan","AFG",2020-02-12,0
"45","Afghanistan","AFG",2020-02-13,0
"46","Afghanistan","AFG",2020-02-14,0
"47","Afghanistan","AFG",2020-02-15,0
"48","Afghanistan","AFG",2020-02-16,0
"49","Afghanistan","AFG",2020-02-17,0
"50","Afghanistan","AFG",2020-02-18,0
"51","Afghanistan","AFG",2020-02-19,0
"52","Afghanistan","AFG",2020-02-20,0
"53","Afghanistan","AFG",2020-02-21,0
"54","Afghanistan","AFG",2020-02-22,0
"55","Afghanistan","AFG",2020-02-23,0
"56","Afghanistan","AFG",2020-02-24,0
"57","Afghanistan","AFG",2020-02-25,0.026
"58","Afghanistan","AFG",2020-02-26,0.026
"59","Afghanistan","AFG",2020-02-27,0.026
"60","Afghanistan","AFG",2020-02-28,0.026
"61","Afghanistan","AFG",2020-02-29,0.026
"62","Afghanistan","AFG",2020-03-01,0.026
"63","Afghanistan","AFG",2020-03-02,0.026
"64","Afghanistan","AFG",2020-03-08,0.103
"65","Afghanistan","AFG",2020-03-11,0.18
"66","Afghanistan","AFG",2020-03-15,0.257
"67","Afghanistan","AFG",2020-03-16,0.411
"68","Afghanistan","AFG",2020-03-17,0.539
"69","Afghanistan","AFG",2020-03-18,0.565
"70","Afghanistan","AFG",2020-03-19,0.565
"71","Afghanistan","AFG",2020-03-20,0.565
"72","Afghanistan","AFG",2020-03-21,0.617
"73","Afghanistan","AFG",2020-03-22,0.617
"74","Afghanistan","AFG",2020-03-23,0.873
"75","Afghanistan","AFG",2020-03-24,1.028
"76","Afghanistan","AFG",2020-03-25,1.079
"77","Afghanistan","AFG",2020-03-26,1.927
"78","Afghanistan","AFG",2020-03-27,1.927
"79","Afghanistan","AFG",2020-03-28,2.338
"80","Afghanistan","AFG",2020-03-29,2.723
"81","Afghanistan","AFG",2020-03-30,2.928
"82","Afghanistan","AFG",2020-03-31,3.622
"83","Afghanistan","AFG",2020-04-01,4.264
"84","Afghanistan","AFG",2020-04-02,4.932
"85","Afghanistan","AFG",2020-04-03,6.037
"86","Afghanistan","AFG",2020-04-04,6.037
"87","Afghanistan","AFG",2020-04-05,6.936
"88","Afghanistan","AFG",2020-04-06,7.681
"89","Afghanistan","AFG",2020-04-07,8.657
"90","Afghanistan","AFG",2020-04-08,9.428
"91","Afghanistan","AFG",2020-04-09,10.866
"92","Afghanistan","AFG",2020-04-10,12.433
"93","Afghanistan","AFG",2020-04-11,13.384
"94","Afghanistan","AFG",2020-04-12,14.257
"95","Afghanistan","AFG",2020-04-13,15.593
"96","Afghanistan","AFG",2020-04-14,17.083
"97","Afghanistan","AFG",2020-04-15,18.341
"98","Afghanistan","AFG",2020-04-16,20.14
"99","Afghanistan","AFG",2020-04-17,20.396
"100","Afghanistan","AFG",2020-04-18,21.707
"101","Afghanistan","AFG",2020-04-19,23.325
"102","Afghanistan","AFG",2020-04-20,25.585
"103","Afghanistan","AFG",2020-04-21,26.485
"104","Afghanistan","AFG",2020-04-22,28.052
"105","Afghanistan","AFG",2020-04-23,30.209
"106","Afghanistan","AFG",2020-04-24,32.907
"107","Afghanistan","AFG",2020-04-25,34.705
"108","Afghanistan","AFG",2020-04-26,37.582
"109","Afghanistan","AFG",2020-04-27,39.329
"110","Afghanistan","AFG",2020-04-28,43.747
"111","Afghanistan","AFG",2020-04-29,46.932
"112","Afghanistan","AFG",2020-04-30,50.066
"113","Afghanistan","AFG",2020-05-01,55.769
"114","Afghanistan","AFG",2020-05-02,59.982
"115","Afghanistan","AFG",2020-05-03,63.424
